rank,metropolitan statistical area,lat-long
1,"New York-Newark-Jersey City, NY-NJ-PA MSA","40.704054,-74.008674"
2,"Los Angeles-Long Beach-Anaheim, CA MSA","34.046642,-118.256048"
3,"Chicago-Naperville-Elgin, IL-IN-WI MSA","41.744030,-88.012474"
4,"Dallas-Fort Worth-Arlington, TX MSA","32.708353,-96.920820"
5,"Houston-The Woodlands-Sugar Land, TX MSA","29.762923,-95.383591"
6,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","38.876610,-77.044356"
7,"Miami-Fort Lauderdale-Pompano Beach, FL MSA","25.990421,-80.135238"
8,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","39.868805,-75.331392"
9,"Atlanta-Sandy Springs-Alpharetta, GA MSA","33.876410,-84.356218"
10,"Boston-Cambridge-Newton, MA-NH MSA","42.363226,-71.075372"
11,"Phoenix-Mesa-Chandler, AZ MSA","33.392030,-111.931904"
12,"San Francisco-Oakland-Berkeley, CA MSA","37.821056,-122.315270"
13,"Riverside-San Bernardino-Ontario, CA MSA","34.041740,-117.323236"
14,"Detroit-Warren-Dearborn, MI MSA","42.395685,-83.066463"
15,"Seattle-Tacoma-Bellevue, WA MSA","47.426229,-122.336417"
16,"Minneapolis-St. Paul-Bloomington, MN-WI MSA","44.905049,-93.229106"
17,"San Diego-Chula Vista-Carlsbad, CA MSA","32.709699,-117.150411"
18,"Tampa-St. Petersburg-Clearwater, FL MSA","27.885020,-82.543152"
19,"Denver-Aurora-Lakewood, CO MSA","39.665703,-104.907125"
20,"St. Louis, MO-IL MSA","38.634148,-90.230453"
21,"Baltimore-Columbia-Towson, MD MSA","39.269642,-76.699637"
22,"Orlando-Kissimmee-Sanford, FL MSA","28.421664,-81.399373"
23,"Charlotte-Concord-Gastonia, NC-SC MSA","35.259511,-80.847354"
24,"San Antonio-New Braunfels, TX MSA","29.543825,-98.380792"
25,"Portland-Vancouver-Hillsboro, OR-WA MSA","45.535950,-122.714696"
26,"Sacramento–Roseville–Folsom, CA MSA","38.652842,-121.369342"
27,"Pittsburgh, PA MSA","40.441747,-79.997285"
28,"Las Vegas-Henderson-Paradise, NV MSA","36.093660,-115.110543"
29,"Cincinnati, OH-KY-IN MSA","39.097667,-84.518475"
30,"Austin-Round Rock-Georgetown, TX MSA","30.429399,-97.702624"
31,"Kansas City, MO-KS MSA","39.099763,-94.570192"
32,"Columbus, OH MSA","39.963487,-82.995358"
33,"Cleveland-Elyria, OH MSA","41.442874,-81.864093"
34,"Indianapolis-Carmel-Anderson, IN MSA","39.845536,-86.146476"
35,"San Jose-Sunnyvale-Santa Clara, CA MSA","37.358555,-121.965257"
36,"Nashville-Davidson–Murfreesboro–Franklin, TN MSA","36.160918,-86.782441"
37,"Virginia Beach-Norfolk-Newport News, VA-NC MSA","36.872416,-76.168063"
38,"Providence-Warwick, RI-MA MSA","41.756671,-71.411967"
39,"Milwaukee-Waukesha, WI MSA","43.026799,-88.085652"
40,"Jacksonville, FL MSA","30.337985,-81.659495"
41,"Oklahoma City, OK MSA","35.480945,-97.508052"
42,"Raleigh-Cary, NC MSA","35.783838,-78.701048"
43,"Memphis, TN-MS-AR MSA","35.141192,-90.044970"
44,"Richmond, VA MSA","37.533617,-77.441983"
45,"Louisville/Jefferson County, KY-IN MSA","38.241581,-85.738658"
46,"New Orleans-Metairie, LA MSA","29.980680,-90.153168"
47,"Salt Lake City, UT MSA","40.751961,-111.893075"
48,"Hartford-East Hartford-Middletown, CT MSA","41.765812,-72.638764"
49,"Birmingham-Hoover, AL MSA","33.459004,-86.818924"
50,"Buffalo-Cheektowaga, NY MSA","42.898465,-78.822157"
